Date,Close
1/5/2018 16:00,61.46
1/8/2018 16:00,62.34
1/9/2018 16:00,62.64
1/10/2018 16:00,62.72
1/11/2018 16:00,63.83
1/12/2018 16:00,65.26
1/16/2018 16:00,65.24
1/17/2018 16:00,64.75
1/18/2018 16:00,64.67
1/19/2018 16:00,64.73
1/22/2018 16:00,66.37
1/23/2018 16:00,68.13
1/24/2018 16:00,67.88
1/25/2018 16:00,68.9
1/26/2018 16:00,70.1
1/29/2018 16:00,70.88
1/30/2018 16:00,71.89
1/31/2018 16:00,72.54
2/1/2018 16:00,69.5
2/2/2018 16:00,71.5
2/5/2018 16:00,69.5
2/6/2018 16:00,72.14
2/7/2018 16:00,70.84
2/8/2018 16:00,67.53
2/9/2018 16:00,66.98
2/12/2018 16:00,69.31
2/13/2018 16:00,70.73
2/14/2018 16:00,72.55
2/15/2018 16:00,73.09
2/16/2018 16:00,72.43
2/20/2018 16:00,73.42
2/21/2018 16:00,74.15
2/22/2018 16:00,74.27
2/23/2018 16:00,75
2/26/2018 16:00,76.1
2/27/2018 16:00,75.6
2/28/2018 16:00,75.62
3/1/2018 16:00,74.67
3/2/2018 16:00,75.01
3/5/2018 16:00,76.18
3/6/2018 16:00,76.88
3/7/2018 16:00,77.25
3/8/2018 16:00,77.59
3/9/2018 16:00,78.94
3/12/2018 16:00,79.92
3/13/2018 16:00,79.41
3/14/2018 16:00,79.55
3/15/2018 16:00,79.12
3/16/2018 16:00,78.58
3/19/2018 16:00,77.25
3/20/2018 16:00,79.33
3/21/2018 16:00,79.09
3/22/2018 16:00,77.25
3/23/2018 16:00,74.78
3/26/2018 16:00,77.79
3/27/2018 16:00,74.85
3/28/2018 16:00,71.57
3/29/2018 16:00,72.37
4/2/2018 16:00,68.6
4/3/2018 16:00,69.6
4/4/2018 16:00,70.53
4/5/2018 16:00,72.59
4/6/2018 16:00,70.26
4/9/2018 16:00,70.3
4/10/2018 16:00,71.81
4/11/2018 16:00,71.35
4/12/2018 16:00,72.43
4/13/2018 16:00,71.54
4/16/2018 16:00,72.08
4/17/2018 16:00,75.19
4/18/2018 16:00,76.39
4/19/2018 16:00,77.85
4/20/2018 16:00,76.37
4/23/2018 16:00,75.89
4/24/2018 16:00,73
4/25/2018 16:00,73.01
4/26/2018 16:00,75.9
4/27/2018 16:00,78.63
4/30/2018 16:00,78.31
5/1/2018 16:00,79.11
5/2/2018 16:00,78.48
5/3/2018 16:00,78.6
5/4/2018 16:00,79.05
5/7/2018 16:00,80.01
5/8/2018 16:00,79.62
5/9/2018 16:00,80.4
5/10/2018 16:00,80.45
5/11/2018 16:00,80.15
5/14/2018 16:00,80.08
5/15/2018 16:00,78.81
5/16/2018 16:00,79.36
5/17/2018 16:00,79.09
5/18/2018 16:00,78.72
5/21/2018 16:00,79.27
5/22/2018 16:00,79.07
5/23/2018 16:00,80.09
5/24/2018 16:00,80.15
5/25/2018 16:00,80.51
5/29/2018 16:00,80.64
5/30/2018 16:00,81.24
5/31/2018 16:00,81.48
6/1/2018 16:00,82.08
6/4/2018 16:00,83.26
6/5/2018 16:00,84.82
6/6/2018 16:00,84.79
6/7/2018 16:00,84.47
6/8/2018 16:00,84.2
6/11/2018 16:00,84.46
6/12/2018 16:00,84.94
6/13/2018 16:00,85.24
6/14/2018 16:00,86.19
6/15/2018 16:00,85.8
6/18/2018 16:00,86.19
6/19/2018 16:00,86.74
6/20/2018 16:00,87.5
6/21/2018 16:00,86.51
6/22/2018 16:00,85.78
6/25/2018 16:00,83.16
6/26/2018 16:00,84.55
6/27/2018 16:00,83.03
6/28/2018 16:00,85.07
6/29/2018 16:00,84.99
7/2/2018 16:00,85.69
7/3/2018 13:00,84.7
7/5/2018 16:00,84.99
7/6/2018 16:00,85.53
7/9/2018 16:00,86.95
7/10/2018 16:00,87.15
7/11/2018 16:00,87.75
7/12/2018 16:00,89.83
7/13/2018 16:00,90.65
7/16/2018 16:00,91.12
7/17/2018 16:00,92.2
7/18/2018 16:00,92.15
7/19/2018 16:00,90.65
7/20/2018 16:00,90.69
7/23/2018 16:00,90.1
7/24/2018 16:00,91.46
7/25/2018 16:00,93.18
7/26/2018 16:00,90.4
7/27/2018 16:00,90.86
7/30/2018 16:00,88.96
7/31/2018 16:00,88.87
8/1/2018 16:00,89.86
8/2/2018 16:00,91.72
8/3/2018 16:00,91.16
8/6/2018 16:00,92.39
8/7/2018 16:00,93.12
8/8/2018 16:00,94.33
8/9/2018 16:00,94.93
